,Make,Model,Year,FuelType,EngineHP,EngineCylinders,Transmission,Drive,NumberOfDoors,MarketCategory,Size,Style,highwaympg,citympg,Popularity,MSRP
889,BMW,Z4,2016,premium unleaded (required),300,6,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,24,17,3916,57500
890,Ford,Escape Hybrid,2011,regular unleaded,177,4,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,27,30,5657,32320
891,Volkswagen,Beetle,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,30,24,873,29775
892,Infiniti,Q50,2015,premium unleaded (recommended),328,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,29,20,190,43650
894,Toyota,Highlander,2016,regular unleaded,270,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,18,2031,42375
895,Volvo,S70,1999,regular unleaded,190,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,25,18,870,2286
899,Lincoln,MKC,2016,regular unleaded,240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,26,19,61,39585
900,Cadillac,CTS,2017,premium unleaded (recommended),268,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,30,22,1624,45995
902,Mercedes-Benz,CL-Class,2013,premium unleaded (required),536,8,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Large,Coupe,22,15,617,153000
904,Dodge,Avenger,2013,flex-fuel (unleaded/E85),283,6,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,19,1851,25695
905,Nissan,370Z,2016,premium unleaded (required),332,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,26,19,2009,38370
906,Porsche,Panamera,2015,premium unleaded (required),310,6,AUTOMATED_MANUAL,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,18,1715,82800
907,Hyundai,Santa Fe Sport,2015,regular unleaded,264,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,19,1439,31250
908,GMC,Yukon Hybrid,2012,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,"Luxury,Hybrid",Large,4dr SUV,23,20,549,60285
909,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,1385,39280
910,Kia,Sorento,2017,regular unleaded,290,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,25,18,1720,30790
911,Mitsubishi,Eclipse,2011,regular unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,24699
912,Chevrolet,Traverse,2016,regular unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,1385,42145
913,Aston Martin,DBS,2012,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,18,12,259,296387
914,Infiniti,G35,2007,premium unleaded (required),306,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,24,17,190,31450
915,Porsche,Cayman,2015,premium unleaded (required),340,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,19,1715,75200
916,Chevrolet,HHR,2009,flex-fuel (unleaded/E85),155,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Compact,Wagon,30,22,1385,20720
917,Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,40,31,2202,22800
918,Lexus,RC F,2017,premium unleaded (required),467,8,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,25,16,454,64165
919,Chevrolet,Camaro,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,25,16,1385,48300
920,Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,98200
921,Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,25,2202,25845
923,Volkswagen,CC,2016,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,21,873,31570
925,Nissan,Armada,2014,regular unleaded,317,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,4dr SUV,18,12,2009,52860
926,Ford,E-Series Wagon,2012,flex-fuel (unleaded/E85),225,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,16,13,5657,31200
927,Mercedes-Benz,M-Class,2013,premium unleaded (required),402,8,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,20,14,617,58800
928,Acura,SLX,1997,regular unleaded,190,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,17,13,204,2397
929,Volkswagen,Jetta,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,46,31,873,21640
933,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916,32850
934,Chevrolet,Camaro,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,25,16,1385,43300
935,Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),510,8,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,92400
936,Hyundai,Tucson,2015,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,25,20,1439,27950
939,Dodge,Challenger,2017,regular unleaded,375,8,MANUAL,rear wheel drive,2,High-Performance,Large,Coupe,23,15,1851,39890
940,Infiniti,G Sedan,2012,premium unleaded (recommended),218,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,29,20,190,33100
941,Suzuki,XL7,2009,regular unleaded,252,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,481,28580
943,Cadillac,Eldorado,2001,regular unleaded,275,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,15,1624,40436
944,Toyota,Venza,2014,regular unleaded,268,6,AUTOMATIC,front wheel drive,4,"Crossover,Performance",Midsize,Wagon,26,19,2031,29770
945,Buick,Regal,2016,premium unleaded (recommended),259,4,AUTOMATIC,all wheel drive,4,Performance,Midsize,Sedan,27,19,155,34325
947,Hyundai,Genesis,2015,regular unleaded,311,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,29,18,1439,38000
949,Cadillac,CTS,2016,premium unleaded (recommended),268,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,31,21,1624,56285
950,Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,25195
951,Audi,A3,2017,premium unleaded (recommended),186,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,35,26,3105,34450
952,Chevrolet,Traverse,2016,regular unleaded,281,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,1385,31205
954,Hyundai,Equus,2016,premium unleaded (recommended),429,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,23,15,1439,61500
956,Ford,Focus,2015,flex-fuel (unleaded/E85),160,4,AUTOMATED_MANUAL,front wheel drive,4,Flex Fuel,Compact,Sedan,40,27,5657,23170
957,Acura,RLX,2016,premium unleaded (recommended),310,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,204,54450
958,Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26195
959,Chrysler,Pacifica,2008,regular unleaded,253,6,AUTOMATIC,front wheel drive,4,Crossover,Large,Wagon,23,15,1013,34150
961,Dodge,Durango,2015,regular unleaded,290,6,AUTOMATIC,rear wheel drive,4,"Crossover,Performance",Large,4dr SUV,25,18,1851,30495
962,Lexus,GS 400,2000,regular unleaded,300,8,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,454,3965
963,Land Rover,Range Rover,2014,premium unleaded (required),510,8,AUTOMATIC,four wheel drive,4,"Luxury,High-Performance",Large,4dr SUV,19,13,258,100100
964,Honda,Prelude,2001,premium unleaded (required),200,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,25,20,2202,23600
966,Cadillac,Escalade EXT,2012,flex-fuel (premium unleaded recommended/E85),403,8,AUTOMATIC,all wheel drive,4,"Crossover,Flex Fuel,Luxury,Performance",Large,Crew Cab Pickup,18,13,1624,69640
967,Dodge,Shadow,1992,regular unleaded,152,4,MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,24,18,1851,2000
970,Lincoln,Continental,2017,regular unleaded,305,6,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,26,17,61,47515
971,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
972,Honda,Pilot,2017,regular unleaded,280,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,19,2202,33030
973,Volkswagen,R32,2004,premium unleaded (recommended),240,6,MANUAL,all wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,24,17,873,29100
974,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
975,Honda,Accord Hybrid,2017,regular unleaded,212,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,47,49,2202,29605
976,BMW,4 Series,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,31,20,3916,54900
977,Lincoln,MKX,2016,regular unleaded,303,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,17,61,41550
978,GMC,Acadia,2017,regular unleaded,194,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,25,21,549,34450
979,Nissan,Pathfinder,2017,regular unleaded,284,6,AUTOMATIC,front wheel drive,4,Crossover,Large,4dr SUV,27,20,2009,42070
980,Nissan,370Z,2015,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009,45270
981,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,22,17,1385,42075
982,GMC,Sierra 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,549,39160
983,Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,rear wheel drive,4,"Flex Fuel,Luxury,Performance",Large,4dr SUV,22,15,1624,79970
984,Mercedes-Benz,C-Class,2017,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,24,617,43675
985,Subaru,SVX,1996,regular unleaded,230,6,AUTOMATIC,all wheel drive,2,Performance,Compact,Coupe,22,15,640,2283
987,Audi,A3,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,41050
990,Toyota,Venza,2013,regular unleaded,268,6,AUTOMATIC,all wheel drive,4,"Crossover,Performance",Midsize,Wagon,25,18,2031,31120
991,Land Rover,Range Rover,2014,flex-fuel (premium unleaded required/E85),340,6,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury",Large,4dr SUV,23,17,258,83300
992,Infiniti,EX,2011,premium unleaded (recommended),297,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,190,36600
994,Toyota,Highlander Hybrid,2016,regular unleaded,280,6,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Midsize,4dr SUV,28,27,2031,50485
995,Pontiac,Aztek,2003,regular unleaded,185,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,16,210,23820
996,Porsche,Cayenne,2017,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,18,1715,59600
998,Volkswagen,Golf R,2016,premium unleaded (recommended),292,4,MANUAL,all wheel drive,4,"Hatchback,Factory Tuner,High-Performance",Compact,4dr Hatchback,31,22,873,35650
1000,Subaru,Forester,2016,regular unleaded,170,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,24,640,28795
1001,HUMMER,H3T,2010,regular unleaded,239,5,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel,Luxury",Compact,Crew Cab Pickup,18,14,130,36355
1004,Buick,LaCrosse,2017,regular unleaded,310,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,31,21,155,36065
1005,Toyota,Avalon,2016,regular unleaded,268,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,31,21,2031,40450
1006,BMW,X6,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,22,15,3916,72900
1007,Land Rover,Discovery Sport,2016,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,45955
1009,Aston Martin,DB7,2003,premium unleaded (required),420,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,10,259,141800
1010,Chrysler,Pacifica,2008,regular unleaded,253,6,AUTOMATIC,all wheel drive,4,Crossover,Large,Wagon,22,14,1013,36195
1013,Hyundai,Accent,2016,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,14995
1014,Hyundai,Santa Fe,2016,regular unleaded,290,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,18,1439,36250
1019,Porsche,911,2016,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,18,1715,117530
1020,Cadillac,ATS Coupe,2016,regular unleaded,335,6,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,19,1624,50675
1021,Chevrolet,HHR,2011,flex-fuel (unleaded/E85),155,4,MANUAL,front wheel drive,4,Flex Fuel,Compact,Wagon,32,22,1385,18720
1022,Ford,Fiesta,2017,regular unleaded,197,4,MANUAL,front wheel drive,4,"Hatchback,Factory Tuner,Performance",Compact,4dr Hatchback,32,26,5657,21610
1024,GMC,Sierra 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,549,39870
1025,Ferrari,456M,2003,premium unleaded (required),442,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,15,9,2774,224585
1027,BMW,Z4,2014,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,34,22,3916,48950
1029,Scion,FR-S,2015,premium unleaded (required),200,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,30,22,105,24900
1030,Saab,5-Sep,2011,premium unleaded (recommended),220,4,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,28,18,376,43435
1033,Kia,Sportage,2017,regular unleaded,181,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,25,21,1720,24490
1036,Maserati,GranTurismo Convertible,2015,premium unleaded (required),444,8,AUTOMATIC,rear wheel drive,2,"Exotic,Luxury,High-Performance",Midsize,Convertible,20,13,238,145740
1037,Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25300
1038,Dodge,Journey,2016,regular unleaded,283,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,16,1851,28395
1039,Toyota,MR2,1994,regular unleaded,135,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2031,2000
1040,Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,Performance",Large,4dr SUV,20,14,1624,85795
1041,Subaru,B9 Tribeca,2007,premium unleaded (required),245,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,16,640,37295
1042,GMC,Sierra 1500 Classic,2007,regular unleaded,285,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,18,14,549,27580
1043,Honda,Crosstour,2015,regular unleaded,192,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,31,22,2202,33315
1045,Chevrolet,Corvette,2016,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,29,17,1385,60400
1046,GMC,Sierra 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,24,18,549,34465
1047,Audi,RS 5,2014,premium unleaded (required),450,8,AUTOMATED_MANUAL,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Midsize,Convertible,22,16,3105,77900
1048,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,18,204,45950
1049,Chevrolet,Traverse,2017,regular unleaded,281,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,1385,36100
1050,Ford,Fusion,2017,regular unleaded,231,4,AUTOMATIC,all wheel drive,4,Performance,Midsize,Sedan,29,20,5657,38620
1053,Ford,Aspire,1995,regular unleaded,63,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,38,31,5657,2000
1055,Mitsubishi,Outlander Sport,2017,regular unleaded,148,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,30,24,436,20995
1056,Aston Martin,Rapide,2012,premium unleaded (required),470,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,19,13,259,226850
1058,Chevrolet,Express,2016,flex-fuel (unleaded/E85),285,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Large,Passenger Van,16,11,1385,37500
1059,Chevrolet,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,44580
1061,Dodge,Journey,2017,regular unleaded,283,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,16,1851,29795
1062,Pontiac,Torrent,2009,regular unleaded,264,6,AUTOMATIC,front wheel drive,4,"Crossover,Factory Tuner,Performance",Compact,4dr SUV,24,17,210,29420
1063,Suzuki,XL7,2007,regular unleaded,252,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,16,481,27549
1065,Aston Martin,V8 Vantage,2016,premium unleaded (required),430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,121295
1067,Volkswagen,Golf GTI,2015,premium unleaded (recommended),220,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,34,25,873,29280
1068,Infiniti,QX50,2015,premium unleaded (recommended),325,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,190,36400
1069,Infiniti,EX,2012,premium unleaded (recommended),297,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,190,37200
1073,Chevrolet,Sonic,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,25,1385,21495
1075,GMC,Acadia,2015,regular unleaded,281,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,549,33975
1076,FIAT,500,2015,premium unleaded (recommended),101,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,40,31,819,18700
1077,Cadillac,SRX,2016,regular unleaded,308,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,1624,48840
1080,Lamborghini,Gallardo,2014,premium unleaded (required),550,10,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,20,12,1158,209500
1081,Mercedes-Benz,S-Class,2017,premium unleaded (required),577,8,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,23,15,617,144700
1083,Ford,Freestyle,2006,regular unleaded,203,6,AUTOMATIC,all wheel drive,4,Crossover,Large,Wagon,22,17,5657,28355
1085,Chevrolet,Traverse,2017,regular unleaded,281,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,1385,38650
1086,Honda,Civic,2015,premium unleaded (required),205,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Coupe,31,22,2202,24590
1087,Ford,Fusion Hybrid,2016,regular unleaded,188,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,41,44,5657,26480
1089,Nissan,Armada,2014,regular unleaded,317,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,4dr SUV,19,13,2009,42680
1090,BMW,7 Series,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,16,3916,97600
1092,Dodge,Ram Pickup 1500,2008,regular unleaded,215,6,MANUAL,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,19,16,1851,22150
1093,Honda,Element,2009,regular unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,23585
1094,Chevrolet,Silverado 1500 Classic,2007,flex-fuel (unleaded/E85),295,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,19,14,1385,30755
1095,Mercedes-Benz,R-Class,2010,premium unleaded (required),268,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Large,Wagon,19,14,617,49300
1097,Chevrolet,Captiva Sport,2015,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25155
1098,GMC,Sierra 1500,2015,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,24,18,549,26670
1099,Aston Martin,V12 Vanquish,2005,premium unleaded (required),520,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Compact,Coupe,16,10,259,255000
1100,GMC,Yukon,2017,premium unleaded (recommended),420,8,AUTOMATIC,rear wheel drive,4,Performance,Large,4dr SUV,22,15,549,65965
1104,Cadillac,SRX,2014,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,1624,45255
1105,Cadillac,ATS Coupe,2015,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,29,20,1624,40445
1106,Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,rear wheel drive,4,"Flex Fuel,Luxury",Large,4dr SUV,21,15,1624,74695
1107,Hyundai,Santa Fe,2015,regular unleaded,290,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,18,1439,34250
1108,Scion,FR-S,2014,premium unleaded (required),200,4,AUTOMATIC,rear wheel drive,2,Performance,Compact,Coupe,34,25,105,28500
1110,Cadillac,Escalade EXT,2011,flex-fuel (premium unleaded recommended/E85),403,8,AUTOMATIC,all wheel drive,4,"Crossover,Flex Fuel,Luxury,Performance",Large,Crew Cab Pickup,18,13,1624,67350
1111,Cadillac,Escalade ESV,2017,premium unleaded (recommended),420,8,AUTOMATIC,four wheel drive,4,"Luxury,Performance",Large,4dr SUV,20,15,1624,97795
1113,Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,25,18,376,2000
1114,Infiniti,Q50,2015,premium unleaded (recommended),328,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,27,19,190,38950
1115,Infiniti,EX35,2010,premium unleaded (recommended),297,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,190,35200
1119,Honda,Crosstour,2014,regular unleaded,278,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,28,19,2202,37240
1120,Chevrolet,Colorado,2016,regular unleaded,305,6,AUTOMATIC,rear wheel drive,4,Diesel,Compact,Crew Cab Pickup,26,18,1385,26510
1121,Mercedes-Benz,G-Class,2015,premium unleaded (required),536,8,AUTOMATIC,four wheel drive,4,"Factory Tuner,Luxury",Midsize,4dr SUV,14,12,617,137100
1123,Hyundai,Santa Fe Sport,2015,regular unleaded,264,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,18,1439,33000
1124,BMW,M6,2017,premium unleaded (required),560,8,AUTOMATED_MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,20,14,3916,113700
1126,Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25885
1127,Chevrolet,Silverado 1500,2016,regular unleaded,355,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,16,1385,41890
1128,GMC,Savana Cargo,2016,flex-fuel (unleaded/E85),285,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Cargo Van,16,11,549,33915
1129,Chevrolet,Corvette,2017,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,25,16,1385,64450
1130,Ford,F-150,2015,regular unleaded,325,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,26,19,5657,41670
1131,GMC,Sierra 1500 Hybrid,2011,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,549,39095
1132,Land Rover,Range Rover,2015,flex-fuel (premium unleaded required/E85),340,6,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury",Large,4dr SUV,23,17,258,83495
1133,Volkswagen,Golf GTI,2016,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,25,873,30620
1134,Lincoln,Mark LT,2007,regular unleaded,300,8,AUTOMATIC,four wheel drive,4,Luxury,Large,Crew Cab Pickup,16,12,61,41525
1139,GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,13,549,30550
1140,Honda,Element,2010,regular unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,22635
1143,Nissan,Juke,2017,premium unleaded (recommended),188,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Compact,4dr Hatchback,32,28,2009,20250
1145,Mercedes-Benz,190-Class,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617,2000
1148,Mercedes-Benz,E-Class,2015,premium unleaded (required),302,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,27,20,617,59000
